,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
40,41,2022-01-07,,,Box Score,@,Brooklyn Nets,W,,121,109,26,15,G. Antetokounmpo · W. Matthews · K. Middleton · J. Nwora · B. Portis
41,42,2022-01-08,,,Box Score,@,Charlotte Hornets,L,,106,114,26,16,G. Antetokounmpo · W. Matthews · K. Middleton · J. Nwora · B. Portis
42,43,2022-01-10,,,Box Score,@,Charlotte Hornets,L,,99,103,26,17,G. Antetokounmpo · W. Matthews · K. Middleton · J. Nwora · B. Portis
43,44,2022-01-13,,,Box Score,,Golden State Warriors,W,,118,99,27,17,G. Allen · G. Antetokounmpo · W. Matthews · K. Middleton · B. Portis
44,45,2022-01-15,,,Box Score,,Toronto Raptors,L,,96,103,27,18,G. Allen · G. Antetokounmpo · W. Matthews · K. Middleton · B. Portis
45,46,2022-01-17,,,Box Score,@,Atlanta Hawks,L,,114,121,27,19,G. Allen · G. Antetokounmpo · G. Hill · K. Middleton · B. Portis
46,47,2022-01-19,,,Box Score,,Memphis Grizzlies,W,,126,114,28,19,G. Allen · G. Antetokounmpo · G. Hill · K. Middleton · B. Portis
47,48,2022-01-21,,,Box Score,,Chicago Bulls,W,,94,90,29,19,G. Allen · G. Antetokounmpo · G. Hill · K. Middleton · B. Portis
48,49,2022-01-22,,,Box Score,,Sacramento Kings,W,,133,127,30,19,P. Connaughton · G. Hill · J. Holiday · K. Middleton · B. Portis
49,50,2022-01-26,,,Box Score,@,Cleveland Cavaliers,L,,99,115,30,20,G. Antetokounmpo · P. Connaughton · J. Holiday · K. Middleton · B. Portis
50,51,2022-01-28,,,Box Score,,New York Knicks,W,,123,108,31,20,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
51,52,2022-01-30,,,Box Score,,Denver Nuggets,L,,100,136,31,21,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
52,53,2022-02-01,,,Box Score,,Washington Wizards,W,,112,98,32,21,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
53,54,2022-02-05,,,Box Score,@,Portland Trail Blazers,W,,137,108,33,21,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
54,55,2022-02-06,,,Box Score,@,Los Angeles Clippers,W,,137,113,34,21,G. Antetokounmpo · P. Connaughton · J. Holiday · K. Middleton · B. Portis
55,56,2022-02-08,,,Box Score,@,Los Angeles Lakers,W,,131,116,35,21,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
56,57,2022-02-10,,,Box Score,@,Phoenix Suns,L,,107,131,35,22,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
57,58,2022-02-14,,,Box Score,,Portland Trail Blazers,L,,107,122,35,23,G. Allen · J. Holiday · S. Ibaka · K. Middleton · B. Portis
58,59,2022-02-15,,,Box Score,,Indiana Pacers,W,,128,119,36,23,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
59,60,2022-02-17,,,Box Score,,Philadelphia 76ers,L,,120,123,36,24,G. Antetokounmpo · J. Holiday · K. Middleton · J. Nwora · B. Portis
60,61,2022-02-26,,,Box Score,,Brooklyn Nets,L,,123,126,36,25,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
61,62,2022-02-28,,,Box Score,,Charlotte Hornets,W,,130,106,37,25,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
62,63,2022-03-02,,,Box Score,,Miami Heat,W,,120,119,38,25,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
63,64,2022-03-04,,,Box Score,@,Chicago Bulls,W,,118,112,39,25,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
64,65,2022-03-06,,,Box Score,,Phoenix Suns,W,,132,122,40,25,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
65,66,2022-03-08,,,Box Score,@,Oklahoma City Thunder,W,,142,115,41,25,G. Antetokounmpo · J. Holiday · K. Middleton · J. Nwora · B. Portis
66,67,2022-03-09,,,Box Score,,Atlanta Hawks,W,,124,115,42,25,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
67,68,2022-03-12,,,Box Score,@,Golden State Warriors,L,,109,122,42,26,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
68,69,2022-03-14,,,Box Score,@,Utah Jazz,W,,117,111,43,26,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
69,70,2022-03-16,,,Box Score,@,Sacramento Kings,W,,135,126,44,26,G. Allen · G. Antetokounmpo · J. Holiday · K. Middleton · B. Portis
70,71,2022-03-19,,,Box Score,@,Minnesota Timberwolves,L,,119,138,44,27,G. Allen · J. Holiday · B. Lopez · K. Middleton · B. Portis
71,72,2022-03-22,,,Box Score,,Chicago Bulls,W,,126,98,45,27,G. Allen · G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews
72,73,2022-03-24,,,Box Score,,Washington Wizards,W,,114,102,46,27,G. Allen · J. Holiday · B. Lopez · W. Matthews · B. Portis
73,74,2022-03-26,,,Box Score,@,Memphis Grizzlies,L,,102,127,46,28,G. Allen · G. Antetokounmpo · G. Hill · B. Lopez · K. Middleton
74,75,2022-03-29,,,Box Score,@,Philadelphia 76ers,W,,118,116,47,28,G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews · K. Middleton
75,76,2022-03-31,,,Box Score,@,Brooklyn Nets,W,OT,120,119,48,28,G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews · K. Middleton
76,77,2022-04-01,,,Box Score,,Los Angeles Clippers,L,,119,153,48,29,J. Carter · P. Connaughton · S. Ibaka · J. Nwora · B. Portis
77,78,2022-04-03,,,Box Score,,Dallas Mavericks,L,,112,118,48,30,G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews · K. Middleton
78,79,2022-04-05,,,Box Score,@,Chicago Bulls,W,,127,106,49,30,G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews · K. Middleton
79,80,2022-04-07,,,Box Score,,Boston Celtics,W,,127,121,50,30,G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews · K. Middleton
80,81,2022-04-08,,,Box Score,@,Detroit Pistons,W,,131,101,51,30,G. Antetokounmpo · J. Holiday · B. Lopez · W. Matthews · K. Middleton
81,82,2022-04-10,,,Box Score,@,Cleveland Cavaliers,L,,115,133,51,31,T. Antetokounmpo · J. Carter · J. Holiday · S. Mamukelashvili · J. Nwora
