,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
30,31,Leon Wood,,5,1,4,0.2,99.3,,111.6,19.0,19.6,8.8,1.2,,125.0,20.0,18.2,9.4,2.4,,-13.4,-1.0,1.4,-0.6,-1.2
31,32,Marc Davis,,4,1,3,0.25,97.8,,110.0,18.3,13.5,7.5,1.3,,114.3,14.3,16.0,9.5,1.8,,-4.3,4.0,-2.5,-2.0,-0.5
32,33,Aaron Smith,,5,2,3,0.4,95.6,,101.7,21.9,16.5,10.0,1.8,,103.6,18.4,19.4,9.2,2.0,,-1.9,3.5,-2.9,0.8,-0.2
33,34,Justin Van Duyne,,5,2,3,0.4,98.5,,108.2,20.4,16.0,9.4,1.4,,112.2,19.4,19.2,8.8,2.6,,-4.0,1.0,-3.2,0.6,-1.2
34,35,Brandon Adair,,2,1,1,0.5,100.4,,113.5,17.5,16.5,8.0,0.5,,112.0,16.0,16.0,9.5,0.5,,1.5,1.5,0.5,-1.5,0.0
35,36,Zach Zarba,,4,2,2,0.5,101.6,,118.3,19.8,19.5,11.0,1.0,,116.8,22.8,16.3,9.5,1.5,,1.5,-3.0,3.2,1.5,-0.5
36,37,John Butler,,7,3,4,0.429,96.6,,115.0,21.9,20.0,8.4,1.7,,113.0,20.6,18.9,10.9,0.9,,2.0,1.3,1.1,-2.5,0.8
37,38,Mark Lindsay,,5,1,4,0.2,100.2,,109.0,28.2,20.0,10.2,1.2,,119.2,24.0,26.6,12.6,3.8,,-10.2,4.2,-6.6,-2.4,-2.6
38,39,James Williams,,3,1,2,0.333,97.3,,107.3,25.7,21.7,7.7,2.0,,111.3,20.7,23.3,10.7,2.7,,-4.0,5.0,-1.6,-3.0,-0.7
39,40,Brett Nansel,,5,3,2,0.6,97.5,,108.2,25.8,18.8,9.2,3.2,,113.1,18.1,22.2,11.3,1.5,,-4.9,7.7,-3.4,-2.1,1.7
40,41,Lauren Holtkamp-Sterling,,6,1,5,0.167,100.0,,106.2,25.6,17.0,9.0,1.1,,118.9,17.5,20.3,12.3,0.7,,-12.7,8.1,-3.3,-3.3,0.4
41,42,Tre Maddox,,6,0,6,0.0,99.5,,102.6,26.2,18.3,10.2,0.8,,117.8,22.6,20.8,12.1,1.5,,-15.2,3.6,-2.5,-1.9,-0.7
42,43,J.B. DeRosa,,2,0,2,0.0,94.7,,104.0,23.5,18.5,7.5,2.0,,112.0,23.5,18.0,12.0,0.5,,-8.0,0.0,0.5,-4.5,1.5
43,44,Jonathan Sterling,,3,2,1,0.667,95.2,,112.7,23.7,18.7,6.7,0.7,,113.3,19.3,20.3,10.7,1.0,,-0.6,4.4,-1.6,-4.0,-0.3
44,45,David Guthrie,,5,2,3,0.4,98.0,,111.8,22.2,20.1,9.4,1.5,,113.5,22.0,20.0,11.3,1.9,,-1.7,0.2,0.1,-1.9,-0.4
45,46,Ben Taylor,,4,2,2,0.5,98.8,,113.9,20.4,17.2,10.0,1.2,,117.8,18.6,20.2,9.7,2.6,,-3.9,1.8,-3.0,0.3,-1.4
46,47,Brian Forte,,4,0,4,0.0,97.7,,98.0,19.8,18.0,8.0,2.3,,122.0,17.8,17.0,9.0,1.0,,-24.0,2.0,1.0,-1.0,1.3
47,48,Robert Hussey,,1,1,0,1.0,98.1,,124.0,20.0,16.0,9.0,2.0,,115.0,16.0,15.0,11.0,0.0,,9.0,4.0,1.0,-2.0,2.0
48,49,Courtney Kirkland,,3,1,2,0.333,98.7,,99.0,19.7,16.7,8.0,2.0,,109.0,15.3,20.0,8.7,2.7,,-10.0,4.4,-3.3,-0.7,-0.7
49,50,Scott Foster,,2,1,1,0.5,103.2,,107.0,21.5,21.0,10.0,2.0,,113.5,23.5,24.0,8.0,4.5,,-6.5,-2.0,-3.0,2.0,-2.5
