,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
42,43,2022-01-17,,,Box Score,@,San Antonio Spurs,W,,121,107,34,9,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
43,44,2022-01-20,,,Box Score,@,Dallas Mavericks,W,,109,101,35,9,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
44,45,2022-01-22,,,Box Score,,Indiana Pacers,W,,113,103,36,9,D. Booker · M. Bridges · J. Crowder · J. McGee · C. Paul
45,46,2022-01-24,,,Box Score,,Utah Jazz,W,,115,109,37,9,D. Booker · M. Bridges · C. Johnson · J. McGee · C. Paul
46,47,2022-01-26,,,Box Score,@,Utah Jazz,W,,105,97,38,9,B. Biyombo · D. Booker · M. Bridges · C. Johnson · C. Paul
47,48,2022-01-28,,,Box Score,,Minnesota Timberwolves,W,,134,124,39,9,B. Biyombo · D. Booker · M. Bridges · C. Johnson · C. Paul
48,49,2022-01-30,,,Box Score,,San Antonio Spurs,W,,115,110,40,9,B. Biyombo · D. Booker · M. Bridges · C. Johnson · C. Paul
49,50,2022-02-01,,,Box Score,,Brooklyn Nets,W,,121,111,41,9,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
50,51,2022-02-03,,,Box Score,@,Atlanta Hawks,L,,115,124,41,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
51,52,2022-02-05,,,Box Score,@,Washington Wizards,W,,95,80,42,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
52,53,2022-02-07,,,Box Score,@,Chicago Bulls,W,,127,124,43,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
53,54,2022-02-08,,,Box Score,@,Philadelphia 76ers,W,,114,109,44,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
54,55,2022-02-10,,,Box Score,,Milwaukee Bucks,W,,131,107,45,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
55,56,2022-02-12,,,Box Score,,Orlando Magic,W,,132,105,46,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
56,57,2022-02-15,,,Box Score,,Los Angeles Clippers,W,,103,96,47,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
57,58,2022-02-16,,,Box Score,,Houston Rockets,W,,124,121,48,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Paul
58,59,2022-02-24,,,Box Score,@,Oklahoma City Thunder,W,,124,104,49,10,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Johnson
59,60,2022-02-25,,,Box Score,,New Orleans Pelicans,L,,102,117,49,11,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Johnson
60,61,2022-02-27,,,Box Score,,Utah Jazz,L,,114,118,49,12,D. Ayton · D. Booker · M. Bridges · J. Crowder · C. Johnson
61,62,2022-03-02,,,Box Score,,Portland Trail Blazers,W,,120,90,50,12,D. Ayton · M. Bridges · J. Crowder · C. Payne · L. Shamet
62,63,2022-03-04,,,Box Score,,New York Knicks,W,,115,114,51,12,D. Ayton · M. Bridges · J. Crowder · C. Payne · L. Shamet
