,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
30,31,Marat Kogut,,4,3,1,0.75,100.0,,108.8,21.4,22.6,11.2,3.1,,105.3,27.3,21.6,9.0,2.6,,3.5,-5.9,1.0,2.2,0.5
31,32,J.T. Orr,,3,2,1,0.667,99.8,,112.1,20.6,23.2,13.9,2.3,,107.3,30.0,20.0,9.0,2.9,,4.8,-9.4,3.2,4.9,-0.6
32,33,Josh Tiven,,6,3,3,0.5,101.9,,112.1,26.9,20.0,10.0,1.4,,115.8,23.5,23.2,11.8,2.4,,-3.7,3.4,-3.2,-1.8,-1.0
33,34,Brett Nansel,,5,0,5,0.0,97.2,,101.5,20.9,18.1,9.6,1.1,,113.3,22.0,19.2,9.8,1.3,,-11.8,-1.1,-1.1,-0.2,-0.2
34,35,Derek Richardson,,6,1,5,0.167,99.7,,106.5,24.3,17.7,8.5,0.7,,118.5,17.7,22.0,9.8,1.8,,-12.0,6.6,-4.3,-1.3,-1.1
35,36,Bill Kennedy,,3,3,0,1.0,98.6,,117.0,25.3,17.7,9.3,2.3,,99.7,18.7,21.3,12.0,2.0,,17.3,6.6,-3.6,-2.7,0.3
36,37,Danielle Scott,,1,1,0,1.0,96.6,,114.0,17.0,16.0,8.0,4.0,,106.0,15.0,17.0,7.0,2.0,,8.0,2.0,-1.0,1.0,2.0
37,38,Bennie Adams,,4,1,3,0.25,100.8,,111.5,24.8,19.8,9.5,1.3,,116.0,21.0,19.3,9.8,1.0,,-4.5,3.8,0.5,-0.3,0.3
38,39,Pat Fraher,,3,0,3,0.0,100.1,,103.0,26.3,18.0,8.7,1.3,,114.3,19.3,18.7,9.3,1.0,,-11.3,7.0,-0.7,-0.6,0.3
39,40,Scott Wall,,5,2,3,0.4,99.3,,109.0,24.6,19.2,9.0,1.8,,111.8,21.0,20.4,10.6,1.6,,-2.8,3.6,-1.2,-1.6,0.2
40,41,Brent Barnaky,,5,1,4,0.2,97.9,,107.6,15.2,17.6,9.0,1.0,,109.4,20.4,14.6,7.0,0.6,,-1.8,-5.2,3.0,2.0,0.4
41,42,David Guthrie,,7,3,4,0.429,98.4,,106.4,20.6,18.6,10.0,0.4,,109.1,21.4,18.7,9.6,1.3,,-2.7,-0.8,-0.1,0.4,-0.9
42,43,Tyler Ford,,4,0,4,0.0,97.4,,109.0,24.5,24.3,13.3,0.8,,117.8,31.0,20.0,10.5,2.0,,-8.8,-6.5,4.3,2.8,-1.2
43,44,Phenizee Ransom,,2,1,1,0.5,101.3,,114.0,28.5,20.5,7.0,3.0,,114.5,20.5,27.5,10.0,2.5,,-0.5,8.0,-7.0,-3.0,0.5
44,45,Matt Kallio,,1,1,0,1.0,97.4,,112.3,26.3,19.0,10.0,2.7,,105.1,21.7,22.6,11.8,0.0,,7.2,4.6,-3.6,-1.8,2.7
45,46,Rodney Mott,,1,1,0,1.0,97.4,,112.3,26.3,19.0,10.0,2.7,,105.1,21.7,22.6,11.8,0.0,,7.2,4.6,-3.6,-1.8,2.7
46,47,Ben Taylor,,3,0,3,0.0,100.2,,104.5,22.5,19.3,9.1,1.5,,113.6,18.4,19.0,11.1,2.6,,-9.1,4.1,0.3,-2.0,-1.1
47,48,Zach Zarba,,3,1,2,0.333,98.0,,107.3,23.7,16.0,7.0,0.7,,107.3,16.3,20.3,11.7,1.3,,0.0,7.4,-4.3,-4.7,-0.6
48,49,Mousa Dagher,,2,1,1,0.5,101.8,,116.0,24.0,21.5,10.5,1.5,,107.0,24.5,23.0,10.5,1.5,,9.0,-0.5,-1.5,0.0,0.0
49,50,Tom Washington,,4,2,2,0.5,98.7,,106.8,15.8,17.8,10.0,0.8,,111.8,21.0,16.0,8.3,1.3,,-5.0,-5.2,1.8,1.7,-0.5
50,51,Sean Corbin,,1,1,0,1.0,96.2,,116.0,20.0,14.0,8.0,2.0,,95.0,14.0,17.0,10.0,0.0,,21.0,6.0,-3.0,-2.0,2.0
51,52,John Goble,,6,1,5,0.167,99.1,,100.3,19.8,19.8,10.3,2.2,,114.8,23.3,18.7,8.8,1.7,,-14.5,-3.5,1.1,1.5,0.5
52,53,Matt Boland,,4,3,1,0.75,94.7,,107.3,17.8,17.8,8.0,0.5,,105.8,18.8,17.3,7.5,1.0,,1.5,-1.0,0.5,0.5,-0.5
53,54,Dedric Taylor,,6,2,4,0.333,98.1,,106.0,27.4,19.5,10.3,1.5,,114.7,22.8,22.8,12.0,1.5,,-8.7,4.6,-3.3,-1.7,0.0
54,55,Jenna Schroeder,,1,0,1,0.0,98.7,,110.0,22.0,25.0,13.0,2.0,,115.0,31.0,17.0,10.0,1.0,,-5.0,-9.0,8.0,3.0,1.0
55,56,Tre Maddox,,2,1,1,0.5,100.0,,109.0,29.5,18.0,10.0,1.0,,120.5,24.5,21.5,13.5,1.0,,-11.5,5.0,-3.5,-3.5,0.0
56,57,Derrick Collins,,3,1,2,0.333,102.3,,117.3,29.7,20.7,8.3,0.3,,113.7,24.0,21.3,14.7,1.0,,3.6,5.7,-0.6,-6.4,-0.7
57,58,C.J. Washington,,1,1,0,1.0,97.7,,122.0,20.0,16.0,9.0,1.0,,114.0,18.0,18.0,6.0,3.0,,8.0,2.0,-2.0,3.0,-2.0
58,59,Jacyn Goble,,3,1,2,0.333,96.5,,117.0,20.3,21.0,11.0,1.0,,115.7,25.3,20.7,11.3,1.3,,1.3,-5.0,0.3,-0.3,-0.3
59,60,Suyash Mehta,,1,0,1,0.0,100.4,,119.0,19.0,25.0,16.0,1.0,,127.0,32.0,22.0,12.0,3.0,,-8.0,-13.0,3.0,4.0,-2.0
60,61,Leon Wood,,3,1,2,0.333,98.3,,99.0,24.3,19.3,9.7,3.3,,104.3,21.7,21.0,8.7,1.7,,-5.3,2.6,-1.7,1.0,1.6
61,62,Jason Goldenberg,,1,1,0,1.0,96.2,,99.0,33.0,18.0,9.0,3.0,,94.0,19.0,28.0,10.0,2.0,,5.0,14.0,-10.0,-1.0,1.0
62,63,Aaron Smith,,2,0,2,0.0,96.9,,107.0,24.0,19.0,9.5,2.5,,117.5,21.0,22.5,11.5,2.5,,-10.5,3.0,-3.5,-2.0,0.0
63,64,Mitchell Ervin,,4,2,2,0.5,98.5,,119.1,24.6,21.9,11.7,0.5,,121.3,28.0,21.2,10.0,1.5,,-2.2,-3.4,0.7,1.7,-1.0
64,65,Ed Malloy,,2,1,1,0.5,97.2,,112.0,21.5,21.5,10.0,0.0,,115.0,24.0,20.0,8.5,1.0,,-3.0,-2.5,1.5,1.5,-1.0
65,66,Evan Scott,,2,1,1,0.5,95.4,,115.5,22.5,23.0,11.0,1.5,,115.5,28.5,19.0,10.5,0.5,,0.0,-6.0,4.0,0.5,1.0
66,67,Matt Myers,,1,1,0,1.0,90.9,,115.9,19.0,17.2,9.1,0.0,,111.4,18.1,17.2,8.2,0.9,,4.5,0.9,0.0,0.9,-0.9
67,68,Kane Fitzgerald,,1,0,1,0.0,106.5,,112.0,38.0,13.0,5.0,3.0,,128.0,10.0,26.0,16.0,2.0,,-16.0,28.0,-13.0,-11.0,1.0
