,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
41,42,2022-01-12,,,Box Score,,Boston Celtics,L,,100,119,15,27,M. Brogdon · J. Holiday · C. LeVert · D. Sabonis · M. Turner
42,43,2022-01-14,,,Box Score,,Phoenix Suns,L,,94,112,15,28,J. Holiday · C. LeVert · D. Sabonis · K. Sykes · M. Turner
43,44,2022-01-17,,,Box Score,@,Los Angeles Clippers,L,,133,139,15,29,T. Craig · J. Holiday · C. LeVert · D. Sabonis · D. Washington
44,45,2022-01-19,,,Box Score,@,Los Angeles Lakers,W,,111,104,16,29,M. Brogdon · T. Craig · J. Holiday · C. LeVert · D. Sabonis
45,46,2022-01-20,,,Box Score,@,Golden State Warriors,W,OT,121,117,17,29,G. Bitadze · T. Craig · C. Duarte · J. Holiday · K. Sykes
46,47,2022-01-22,,,Box Score,@,Phoenix Suns,L,,103,113,17,30,G. Bitadze · T. Craig · C. Duarte · J. Holiday · K. Sykes
47,48,2022-01-24,,,Box Score,@,New Orleans Pelicans,L,,113,117,17,31,G. Bitadze · T. Craig · C. Duarte · J. Holiday · C. LeVert
48,49,2022-01-26,,,Box Score,,Charlotte Hornets,L,,126,158,17,32,G. Bitadze · T. Craig · C. Duarte · J. Holiday · C. LeVert
49,50,2022-01-28,,,Box Score,@,Oklahoma City Thunder,W,OT,113,110,18,32,T. Craig · C. Duarte · J. Holiday · C. LeVert · D. Sabonis
50,51,2022-01-29,,,Box Score,@,Dallas Mavericks,L,,105,132,18,33,T. Craig · C. Duarte · J. Holiday · C. LeVert · D. Sabonis
51,52,2022-01-31,,,Box Score,,Los Angeles Clippers,W,,122,116,19,33,T. Craig · C. Duarte · J. Holiday · I. Jackson · C. LeVert
52,53,2022-02-02,,,Box Score,,Orlando Magic,L,,118,119,19,34,T. Craig · C. Duarte · J. Holiday · I. Jackson · C. LeVert
53,54,2022-02-04,,,Box Score,,Chicago Bulls,L,,115,122,19,35,T. Craig · C. Duarte · J. Holiday · C. LeVert · T. Taylor
54,55,2022-02-06,,,Box Score,@,Cleveland Cavaliers,L,,85,98,19,36,T. Craig · C. Duarte · J. Holiday · D. Sabonis · K. Sykes
55,56,2022-02-08,,,Box Score,@,Atlanta Hawks,L,,112,133,19,37,G. Bitadze · T. Craig · C. Duarte · L. Stephenson · K. Sykes
56,57,2022-02-11,,,Box Score,,Cleveland Cavaliers,L,,113,120,19,38,G. Bitadze · O. Brissett · C. Duarte · T. Haliburton · B. Hield
57,58,2022-02-13,,,Box Score,,Minnesota Timberwolves,L,,120,129,19,39,G. Bitadze · O. Brissett · C. Duarte · T. Haliburton · B. Hield
58,59,2022-02-15,,,Box Score,@,Milwaukee Bucks,L,,119,128,19,40,G. Bitadze · O. Brissett · T. Haliburton · B. Hield · J. Smith
59,60,2022-02-16,,,Box Score,,Washington Wizards,W,,113,108,20,40,O. Brissett · T. Haliburton · B. Hield · J. Smith · T. Taylor
60,61,2022-02-25,,,Box Score,,Oklahoma City Thunder,L,OT,125,129,20,41,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
61,62,2022-02-27,,,Box Score,,Boston Celtics,W,,128,107,21,41,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
62,63,2022-02-28,,,Box Score,@,Orlando Magic,L,,103,119,21,42,O. Brissett · T. Haliburton · B. Hield · I. Jackson · J. Smith
63,64,2022-03-02,,,Box Score,@,Orlando Magic,W,OT,122,114,22,42,O. Brissett · M. Brogdon · T. Haliburton · B. Hield · I. Jackson
