,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Summary,Summary,Summary,Summary,Summary,Unnamed: 8_level_0,Team per 48,Team per 48,Team per 48,Team per 48,Team per 48,Unnamed: 14_level_0,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Opponent per 48,Unnamed: 20_level_0,Diff per 48,Diff per 48,Diff per 48,Diff per 48,Diff per 48
,Rk,Referee,Unnamed: 2_level_1,G,W,L,W/L%,Pace,Unnamed: 8_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 14_level_1,PTS,FTA,PF,S.Foul,O.Foul,Unnamed: 20_level_1,PTS,FTA,PF,S.Foul,O.Foul
31,32,C.J. Washington,,3,0,3,0.0,98.4,,100.7,16.0,18.0,5.7,1.3,,109.3,16.0,16.0,7.3,1.7,,-8.6,0.0,2.0,-1.6,-0.4
32,33,Brandon Adair,,5,4,1,0.8,95.5,,106.4,22.4,19.4,8.0,1.4,,99.8,20.8,18.8,10.0,1.0,,6.6,1.6,0.6,-2.0,0.4
33,34,Jacyn Goble,,2,0,2,0.0,92.6,,113.5,33.5,23.5,10.0,3.0,,117.5,29.0,26.0,13.5,1.0,,-4.0,4.5,-2.5,-3.5,2.0
34,35,Eric Lewis,,2,1,1,0.5,99.2,,119.0,26.0,22.0,7.5,3.0,,119.5,23.5,23.0,10.5,1.5,,-0.5,2.5,-1.0,-3.0,1.5
35,36,Ed Malloy,,4,1,3,0.25,93.0,,109.2,22.2,20.7,8.5,1.7,,111.1,19.5,19.0,9.3,1.0,,-1.9,2.7,1.7,-0.8,0.7
36,37,Brandon Schwab,,2,0,2,0.0,91.6,,106.0,16.5,18.5,11.0,2.0,,115.5,19.0,14.5,8.0,0.5,,-9.5,-2.5,4.0,3.0,1.5
37,38,Dedric Taylor,,4,3,1,0.75,96.1,,116.0,22.0,18.5,8.8,2.0,,108.5,19.8,18.3,9.5,1.5,,7.5,2.2,0.2,-0.7,0.5
38,39,Rodney Mott,,4,2,2,0.5,94.4,,103.0,23.0,19.8,7.3,1.0,,98.5,19.5,19.5,9.8,2.0,,4.5,3.5,0.3,-2.5,-1.0
39,40,Mitchell Ervin,,6,6,0,1.0,95.4,,115.8,20.2,19.7,9.3,1.8,,103.4,22.4,18.7,8.7,1.3,,12.4,-2.2,1.0,0.6,0.5
40,41,Robert Hussey,,1,1,0,1.0,93.8,,126.0,21.0,20.0,11.0,1.0,,113.0,26.0,20.0,8.0,1.0,,13.0,-5.0,0.0,3.0,0.0
41,42,Bennie Adams,,4,2,2,0.5,94.0,,104.8,26.3,21.8,9.3,2.8,,107.5,23.3,22.0,11.3,2.3,,-2.7,3.0,-0.2,-2.0,0.5
42,43,Scott Foster,,2,1,1,0.5,94.1,,103.0,16.5,19.5,8.0,1.0,,107.0,20.5,17.5,7.0,3.0,,-4.0,-4.0,2.0,1.0,-2.0
43,44,Dannica Mosher,,2,0,2,0.0,91.5,,92.0,21.0,24.0,10.5,1.5,,106.0,27.0,22.0,7.5,3.0,,-14.0,-6.0,2.0,3.0,-1.5
44,45,John Conley,,4,1,3,0.25,93.7,,102.8,24.0,21.0,7.8,2.0,,101.3,22.5,22.0,10.5,2.8,,1.5,1.5,-1.0,-2.7,-0.8
45,46,Mousa Dagher,,2,2,0,1.0,96.5,,115.5,26.5,22.0,9.5,2.5,,97.0,24.0,22.5,11.5,2.5,,18.5,2.5,-0.5,-2.0,0.0
46,47,Kane Fitzgerald,,4,3,1,0.75,94.6,,105.3,23.1,18.8,9.0,2.2,,107.5,21.2,21.0,10.7,2.4,,-2.2,1.9,-2.2,-1.7,-0.2
47,48,Tyler Ford,,2,2,0,1.0,91.9,,102.5,22.0,24.5,12.0,2.5,,93.0,32.0,22.5,9.0,3.0,,9.5,-10.0,2.0,3.0,-0.5
48,49,David Guthrie,,3,2,1,0.667,93.1,,102.1,18.0,20.3,11.0,1.0,,99.9,24.5,18.0,7.4,1.3,,2.2,-6.5,2.3,3.6,-0.3
49,50,Courtney Kirkland,,3,2,1,0.667,93.2,,106.3,21.3,18.0,10.0,1.6,,106.3,22.2,17.7,10.3,1.0,,0.0,-0.9,0.3,-0.3,0.6
50,51,Jonathan Sterling,,4,3,1,0.75,94.5,,102.0,20.2,18.3,9.3,2.3,,96.0,19.5,19.5,8.8,2.8,,6.0,0.7,-1.2,0.5,-0.5
51,52,John Goble,,4,2,2,0.5,97.3,,105.0,16.0,17.8,7.5,1.3,,102.5,18.0,18.8,7.0,1.5,,2.5,-2.0,-1.0,0.5,-0.2
52,53,Lauren Holtkamp-Sterling,,2,2,0,1.0,94.6,,127.5,14.5,17.5,10.5,0.0,,96.0,20.5,15.0,7.0,0.5,,31.5,-6.0,2.5,3.5,-0.5
53,54,Sean Wright,,2,2,0,1.0,97.2,,119.5,26.5,24.0,8.0,2.0,,102.5,24.5,23.5,12.0,2.0,,17.0,2.0,0.5,-4.0,0.0
54,55,Sean Corbin,,1,0,1,0.0,107.2,,99.0,23.0,13.0,7.0,1.0,,144.0,12.0,17.0,11.0,0.0,,-45.0,11.0,-4.0,-4.0,1.0
55,56,Tre Maddox,,1,0,1,0.0,93.1,,109.0,22.0,24.0,16.0,0.0,,114.0,38.0,18.0,8.0,1.0,,-5.0,-16.0,6.0,8.0,-1.0
56,57,Ray Acosta,,1,1,0,1.0,94.9,,116.0,33.0,18.0,8.0,0.0,,108.0,19.0,24.0,12.0,1.0,,8.0,14.0,-6.0,-4.0,-1.0
57,58,Ben Taylor,,3,1,2,0.333,93.8,,103.7,24.7,19.3,9.7,1.0,,108.3,22.0,20.0,11.0,0.7,,-4.6,2.7,-0.7,-1.3,0.3
58,59,Matt Myers,,6,5,1,0.833,96.9,,121.2,21.1,20.6,8.8,1.6,,108.8,23.6,20.2,9.2,1.8,,12.4,-2.5,0.4,-0.4,-0.2
59,60,Gediminas Petraitis,,4,4,0,1.0,95.8,,117.8,24.0,23.0,11.5,3.5,,109.5,26.5,20.3,10.5,2.5,,8.3,-2.5,2.7,1.0,1.0
60,61,Derrick Collins,,5,3,2,0.6,97.5,,105.8,26.0,19.6,10.4,1.6,,109.8,22.8,21.8,11.2,0.8,,-4.0,3.2,-2.2,-0.8,0.8
61,62,Zach Zarba,,4,3,1,0.75,89.8,,112.0,19.3,16.8,10.8,0.8,,100.5,20.3,15.8,8.3,0.8,,11.5,-1.0,1.0,2.5,0.0
62,63,Jason Goldenberg,,3,2,1,0.667,94.1,,104.3,24.0,20.3,10.3,1.7,,108.7,22.0,21.7,10.3,1.7,,-4.4,2.0,-1.4,0.0,0.0
63,64,Danielle Scott,,2,2,0,1.0,97.3,,121.5,30.0,18.0,9.0,1.0,,110.5,22.0,21.0,12.0,0.5,,11.0,8.0,-3.0,-3.0,0.5
64,65,Tony Brothers,,4,3,1,0.75,93.5,,108.5,22.3,19.8,10.5,1.5,,103.5,21.5,18.8,10.0,1.8,,5.0,0.8,1.0,0.5,-0.3
65,66,Kevin Scott,,1,1,0,1.0,89.5,,94.5,13.7,16.8,6.1,1.5,,91.4,15.2,19.8,5.3,3.0,,3.1,-1.5,-3.0,0.8,-1.5
66,67,J.B. DeRosa,,4,4,0,1.0,97.8,,118.4,18.3,18.8,10.2,1.5,,108.2,21.2,18.3,8.0,1.9,,10.2,-2.9,0.5,2.2,-0.4
67,68,Justin Van Duyne,,1,1,0,1.0,100.6,,116.0,29.0,20.0,7.0,1.0,,101.0,16.0,19.0,11.0,0.0,,15.0,13.0,1.0,-4.0,1.0
