,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
59,60,2022-02-25,,,Box Score,@,Phoenix Suns,W,,117,102,24,36,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
60,61,2022-02-27,,,Box Score,@,Los Angeles Lakers,W,,123,95,25,36,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
61,62,2022-03-02,,,Box Score,,Sacramento Kings,W,,125,95,26,36,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
62,63,2022-03-04,,,Box Score,,Utah Jazz,W,,124,90,27,36,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
63,64,2022-03-06,,,Box Score,@,Denver Nuggets,L,OT,130,138,27,37,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
64,65,2022-03-08,,,Box Score,@,Memphis Grizzlies,L,,111,132,27,38,J. Hayes · H. Jones · C. McCollum · T. Snell · J. Valančiūnas
65,66,2022-03-09,,,Box Score,,Orlando Magic,L,,102,108,27,39,J. Hayes · H. Jones · C. McCollum · T. Snell · J. Valančiūnas
66,67,2022-03-11,,,Box Score,,Charlotte Hornets,L,,120,142,27,40,D. Graham · J. Hayes · H. Jones · N. Marshall · J. Valančiūnas
67,68,2022-03-13,,,Box Score,,Houston Rockets,W,,130,105,28,40,D. Graham · J. Hayes · H. Jones · N. Marshall · J. Valančiūnas
68,69,2022-03-15,,,Box Score,,Phoenix Suns,L,,115,131,28,41,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
69,70,2022-03-18,,,Box Score,@,San Antonio Spurs,W,,124,91,29,41,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
70,71,2022-03-20,,,Box Score,@,Atlanta Hawks,W,,117,112,30,41,J. Hayes · H. Jones · N. Marshall · C. McCollum · J. Valančiūnas
71,72,2022-03-21,,,Box Score,@,Charlotte Hornets,L,,103,106,30,42,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
72,73,2022-03-24,,,Box Score,,Chicago Bulls,W,,126,109,31,42,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
73,74,2022-03-26,,,Box Score,,San Antonio Spurs,L,,103,107,31,43,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
74,75,2022-03-27,,,Box Score,,Los Angeles Lakers,W,,116,108,32,43,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
75,76,2022-03-30,,,Box Score,@,Portland Trail Blazers,W,,117,107,33,43,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
76,77,2022-04-01,,,Box Score,@,Los Angeles Lakers,W,,114,111,34,43,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
77,78,2022-04-03,,,Box Score,@,Los Angeles Clippers,L,,100,119,34,44,J. Hayes · B. Ingram · H. Jones · C. McCollum · J. Valančiūnas
78,79,2022-04-05,,,Box Score,@,Sacramento Kings,W,,123,109,35,44,J. Hayes · W. Hernangómez · B. Ingram · H. Jones · C. McCollum
79,80,2022-04-07,,,Box Score,,Portland Trail Blazers,W,,127,94,36,44,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
80,81,2022-04-09,,,Box Score,@,Memphis Grizzlies,L,,114,141,36,45,D. Graham · J. Hayes · H. Jones · C. McCollum · J. Valančiūnas
81,82,2022-04-10,,,Box Score,,Golden State Warriors,L,,107,128,36,46,J. Hayes · W. Hernangómez · N. Marshall · C. McCollum · T. Murphy
