,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
42,43,2022-01-14,,,Box Score,@,Charlotte Hornets,W,,116,109,8,35,C. Anthony · G. Harris · R. Lopez · C. Okeke · F. Wagner
43,44,2022-01-15,,,Box Score,@,Dallas Mavericks,L,,92,108,8,36,C. Anthony · G. Harris · R. Lopez · C. Okeke · F. Wagner
44,45,2022-01-17,,,Box Score,,Portland Trail Blazers,L,,88,98,8,37,C. Anthony · G. Harris · R. Lopez · C. Okeke · F. Wagner
45,46,2022-01-19,,,Box Score,@,Philadelphia 76ers,L,,110,123,8,38,C. Anthony · M. Bamba · G. Harris · J. Suggs · F. Wagner
46,47,2022-01-21,,,Box Score,,Los Angeles Lakers,L,,105,116,8,39,C. Anthony · M. Bamba · G. Harris · J. Suggs · F. Wagner
47,48,2022-01-23,,,Box Score,,Chicago Bulls,W,,114,95,9,39,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
48,49,2022-01-26,,,Box Score,,Los Angeles Clippers,L,,102,111,9,40,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
49,50,2022-01-28,,,Box Score,,Detroit Pistons,W,,119,103,10,40,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
50,51,2022-01-30,,,Box Score,,Dallas Mavericks,W,,110,108,11,40,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
51,52,2022-02-01,,,Box Score,@,Chicago Bulls,L,,115,126,11,41,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
52,53,2022-02-02,,,Box Score,@,Indiana Pacers,W,,119,118,12,41,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
53,54,2022-02-05,,,Box Score,,Memphis Grizzlies,L,,115,135,12,42,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
54,55,2022-02-06,,,Box Score,,Boston Celtics,L,,83,116,12,43,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
55,56,2022-02-08,,,Box Score,@,Portland Trail Blazers,W,,113,95,13,43,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
56,57,2022-02-11,,,Box Score,@,Utah Jazz,L,,99,114,13,44,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
57,58,2022-02-12,,,Box Score,@,Phoenix Suns,L,,105,132,13,45,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
58,59,2022-02-14,,,Box Score,@,Denver Nuggets,L,,111,121,13,46,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
59,60,2022-02-16,,,Box Score,,Atlanta Hawks,L,,109,130,13,47,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
60,61,2022-02-25,,,Box Score,,Houston Rockets,W,,119,111,14,47,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
61,62,2022-02-28,,,Box Score,,Indiana Pacers,W,,119,103,15,47,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
62,63,2022-03-02,,,Box Score,,Indiana Pacers,L,OT,114,122,15,48,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
63,64,2022-03-04,,,Box Score,@,Toronto Raptors,W,,103,97,16,48,C. Anthony · M. Bamba · C. Okeke · J. Suggs · F. Wagner
64,65,2022-03-05,,,Box Score,@,Memphis Grizzlies,L,,96,124,16,49,C. Anthony · M. Bamba · R. Hampton · C. Okeke · F. Wagner
65,66,2022-03-08,,,Box Score,,Phoenix Suns,L,,99,102,16,50,C. Anthony · M. Bamba · W. Carter · R. Hampton · F. Wagner
66,67,2022-03-09,,,Box Score,@,New Orleans Pelicans,W,,108,102,17,50,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
67,68,2022-03-11,,,Box Score,,Minnesota Timberwolves,W,,118,110,18,50,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
68,69,2022-03-13,,,Box Score,,Philadelphia 76ers,L,OT,114,116,18,51,C. Anthony · M. Bamba · W. Carter · J. Suggs · F. Wagner
69,70,2022-03-15,,,Box Score,,Brooklyn Nets,L,,108,150,18,52,C. Anthony · M. Bamba · W. Carter · R. Hampton · F. Wagner
70,71,2022-03-17,,,Box Score,,Detroit Pistons,L,,120,134,18,53,C. Anthony · M. Bamba · R. Hampton · F. Wagner · M. Wagner
71,72,2022-03-20,,,Box Score,,Oklahoma City Thunder,W,,90,85,19,53,C. Anthony · M. Bamba · W. Carter · R. Hampton · F. Wagner
72,73,2022-03-22,,,Box Score,,Golden State Warriors,W,,94,90,20,53,C. Anthony · M. Bamba · W. Carter · R. Hampton · F. Wagner
73,74,2022-03-23,,,Box Score,@,Oklahoma City Thunder,L,,102,118,20,54,C. Anthony · M. Bamba · R. Hampton · C. Okeke · F. Wagner
74,75,2022-03-26,,,Box Score,,Sacramento Kings,L,OT,110,114,20,55,C. Anthony · M. Bamba · R. Hampton · C. Okeke · F. Wagner
75,76,2022-03-28,,,Box Score,@,Cleveland Cavaliers,L,,101,107,20,56,C. Anthony · M. Bamba · W. Carter · R. Hampton · F. Wagner
76,77,2022-03-30,,,Box Score,@,Washington Wizards,L,,110,127,20,57,C. Anthony · M. Bamba · R. Hampton · C. Okeke · F. Wagner
77,78,2022-04-01,,,Box Score,,Toronto Raptors,L,,89,102,20,58,C. Anthony · M. Bamba · R. Hampton · C. Okeke · F. Wagner
78,79,2022-04-03,,,Box Score,,New York Knicks,L,,88,118,20,59,C. Anthony · M. Bamba · I. Brazdeikis · R. Hampton · C. Okeke
79,80,2022-04-05,,,Box Score,,Cleveland Cavaliers,W,,120,115,21,59,M. Bamba · M. Fultz · C. Okeke · J. Suggs · F. Wagner
80,81,2022-04-07,,,Box Score,@,Charlotte Hornets,L,,101,128,21,60,M. Bamba · M. Fultz · C. Okeke · J. Suggs · M. Wagner
81,82,2022-04-10,,,Box Score,,Miami Heat,W,,125,111,22,60,M. Bamba · M. Fultz · R. Hampton · C. Okeke · M. Wagner
