,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Starting Lineup
37,38,2022-01-05,,,Box Score,,Houston Rockets,L,,111,114,19,19,D. Avdija · B. Beal · K. Caldwell-Pope · D. Gafford · K. Kuzma
38,39,2022-01-07,,,Box Score,@,Chicago Bulls,L,,122,130,19,20,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
39,40,2022-01-09,,,Box Score,@,Orlando Magic,W,,102,100,20,20,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
40,41,2022-01-11,,,Box Score,,Oklahoma City Thunder,W,,122,118,21,20,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · C. Kispert · K. Kuzma
41,42,2022-01-12,,,Box Score,,Orlando Magic,W,,112,106,22,20,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · C. Kispert · K. Kuzma
42,43,2022-01-15,,,Box Score,,Portland Trail Blazers,L,,110,115,22,21,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · C. Kispert · K. Kuzma
43,44,2022-01-17,,,Box Score,,Philadelphia 76ers,W,,117,98,23,21,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
44,45,2022-01-19,,,Box Score,,Brooklyn Nets,L,,118,119,23,22,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
45,46,2022-01-21,,,Box Score,,Toronto Raptors,L,,105,109,23,23,D. Avdija · B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford
46,47,2022-01-23,,,Box Score,,Boston Celtics,L,,87,116,23,24,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
47,48,2022-01-25,,,Box Score,,Los Angeles Clippers,L,,115,116,23,25,B. Beal · K. Caldwell-Pope · S. Dinwiddie · D. Gafford · K. Kuzma
48,49,2022-01-29,,,Box Score,@,Memphis Grizzlies,L,,95,115,23,26,B. Beal · T. Bryant · K. Caldwell-Pope · S. Dinwiddie · K. Kuzma
49,50,2022-02-01,,,Box Score,@,Milwaukee Bucks,L,,98,112,23,27,T. Bryant · K. Caldwell-Pope · S. Dinwiddie · A. Holiday · K. Kuzma
50,51,2022-02-02,,,Box Score,@,Philadelphia 76ers,W,,106,103,24,27,K. Caldwell-Pope · S. Dinwiddie · D. Gafford · A. Holiday · K. Kuzma
51,52,2022-02-05,,,Box Score,,Phoenix Suns,L,,80,95,24,28,T. Bryant · K. Caldwell-Pope · S. Dinwiddie · A. Holiday · K. Kuzma
52,53,2022-02-07,,,Box Score,,Miami Heat,L,,100,121,24,29,T. Bryant · K. Caldwell-Pope · S. Dinwiddie · A. Holiday · K. Kuzma
53,54,2022-02-10,,,Box Score,,Brooklyn Nets,W,,113,112,25,29,T. Bryant · K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto
54,55,2022-02-12,,,Box Score,,Sacramento Kings,L,,110,123,25,30,T. Bryant · K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto
55,56,2022-02-14,,,Box Score,,Detroit Pistons,W,,103,94,26,30,T. Bryant · K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto
56,57,2022-02-16,,,Box Score,@,Indiana Pacers,L,,108,113,26,31,T. Bryant · K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto
57,58,2022-02-17,,,Box Score,@,Brooklyn Nets,W,,117,103,27,31,T. Bryant · K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto
58,59,2022-02-25,,,Box Score,,San Antonio Spurs,L,2OT,153,157,27,32,K. Caldwell-Pope · D. Gafford · C. Kispert · K. Kuzma · R. Neto
59,60,2022-02-26,,,Box Score,@,Cleveland Cavaliers,L,,86,92,27,33,K. Caldwell-Pope · D. Gafford · C. Kispert · K. Kuzma · R. Neto
60,61,2022-03-01,,,Box Score,,Detroit Pistons,W,,116,113,28,33,K. Caldwell-Pope · D. Gafford · C. Kispert · K. Kuzma · R. Neto
61,62,2022-03-04,,,Box Score,,Atlanta Hawks,L,,114,117,28,34,K. Caldwell-Pope · D. Gafford · C. Kispert · K. Kuzma · R. Neto
62,63,2022-03-06,,,Box Score,,Indiana Pacers,W,,133,123,29,34,K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto · K. Porziņģis
63,64,2022-03-09,,,Box Score,@,Los Angeles Clippers,L,,109,115,29,35,K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto · K. Porziņģis
64,65,2022-03-11,,,Box Score,@,Los Angeles Lakers,L,,109,122,29,36,K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto · K. Porziņģis
65,66,2022-03-12,,,Box Score,@,Portland Trail Blazers,L,,118,127,29,37,K. Caldwell-Pope · D. Gafford · C. Kispert · K. Kuzma · R. Neto
66,67,2022-03-14,,,Box Score,@,Golden State Warriors,L,,112,126,29,38,K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto · K. Porziņģis
67,68,2022-03-16,,,Box Score,,Denver Nuggets,L,,109,127,29,39,K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto · K. Porziņģis
68,69,2022-03-18,,,Box Score,@,New York Knicks,L,,97,100,29,40,K. Caldwell-Pope · C. Kispert · K. Kuzma · R. Neto · K. Porziņģis
69,70,2022-03-19,,,Box Score,,Los Angeles Lakers,W,,127,119,30,40,K. Caldwell-Pope · R. Hachimura · C. Kispert · R. Neto · K. Porziņģis
70,71,2022-03-21,,,Box Score,@,Houston Rockets,L,,97,115,30,41,K. Caldwell-Pope · R. Hachimura · C. Kispert · R. Neto · K. Porziņģis
71,72,2022-03-24,,,Box Score,@,Milwaukee Bucks,L,,102,114,30,42,K. Caldwell-Pope · R. Hachimura · C. Kispert · R. Neto · K. Porziņģis
72,73,2022-03-25,,,Box Score,@,Detroit Pistons,W,,100,97,31,42,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
73,74,2022-03-27,,,Box Score,,Golden State Warriors,W,,123,115,32,42,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
74,75,2022-03-29,,,Box Score,,Chicago Bulls,L,,94,107,32,43,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
75,76,2022-03-30,,,Box Score,,Orlando Magic,W,,127,110,33,43,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
76,77,2022-04-01,,,Box Score,,Dallas Mavericks,W,,135,103,34,43,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
77,78,2022-04-03,,,Box Score,@,Boston Celtics,L,,102,144,34,44,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
78,79,2022-04-05,,,Box Score,@,Minnesota Timberwolves,W,,132,114,35,44,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
79,80,2022-04-06,,,Box Score,@,Atlanta Hawks,L,,103,118,35,45,K. Caldwell-Pope · R. Hachimura · C. Kispert · K. Porziņģis · T. Satoranský
80,81,2022-04-08,,,Box Score,,New York Knicks,L,,92,114,35,46,D. Avdija · D. Gafford · R. Hachimura · C. Kispert · T. Satoranský
81,82,2022-04-10,,,Box Score,@,Charlotte Hornets,L,,108,124,35,47,D. Avdija · D. Gafford · R. Hachimura · C. Kispert · T. Satoranský
